Protein,PDB Classification,Method,PDB ID,FASTA,# of AA,% Similarity w/AlphaFold2,% Similarity w/AlphaFold3
Carbonic anhydrase 2,Lyase (Oxo-acid),X-Ray Diffraction 2 Å,1CA2,,,,
Carbonic anhydrase 2,Lyase (Oxo-acid),AlphaFold2,1CA2,,,100,
Carbonic anhydrase 2,Lyase (Oxo-acid),AlphaFold3,1CA2,,,,100
Beta?2?microglobulin,Immune System,X-Ray Diffraction 1.13 Å,2YXF,,,,
Beta-2-microglobulin,Immune System,AlphaFold2,2YXF,,,,
Beta?2?microglobulin,Immune System,AlphaFold3,2YXF,,,,
Beta-secretase 1,Hydrolase,X-Ray Diffraction 1.85 Å,2ZHV,,,,
Beta-secretase 1,Hydrolase,AlphaFold2,2ZHV,,,,
Beta-secretase 1,Hydrolase,AlphaFold3,2ZHV,,,,
Cyclin?dependent kinase 2,Protein Kinase,X-Ray Diffraction 1.8 Å,1HCK,,,,
Cyclin-dependent kinase 2,Protein Kinase,AlphaFold2,1HCK,,,,
Cyclin?dependent kinase 2,Protein Kinase,AlphaFold3,1HCK,,,,
Thrombin,Hydrolase,X-Ray Diffraction  1.55 Å,3U69,,,,
Thrombin,Hydrolase,AlphaFold2,3U69,,,,
Thrombin,Hydrolase,AlphaFold3,3U69,,,,
Bromodomain?containing protein 4 BD1,Signaling Protein,X-Ray Diffraction 1.35 Å ,2OSS,,,,
Bromodomain?containing protein 4 BD1,Signaling Protein,AlphaFold2,2OSS,,,,
Bromodomain?containing protein 4 BD1,Signaling Protein,AlphaFold3,2OSS,,,,
Bromodomain?containing protein 4 BD2,Transcription,X-Ray Diffraction 1.22 Å,7USK,,,,
Bromodomain?containing protein 4 BD2,Transcription,AlphaFold2,7USK,,,,
Bromodomain?containing protein 4 BD2,Transcription,AlphaFold3,7USK,,,,
DNA polymerase beta,Transferase/DNA,X-Ray Diffraction 2.4 Å,1BPX,,,,
DNA polymerase beta,Transferase/DNA,AlphaFold2,1BPX,,,,
DNA polymerase beta,Transferase/DNA,AlphaFold3,1BPX,,,,
"HLA class I histocompatibility antigen, A alpha chain",Immune System,X-Ray Diffraction 2.81 Å,6EQB,,,,
"HLA class I histocompatibility antigen, A alpha chain",Immune System,AlphaFold2,6EQB,,,,
"HLA class I histocompatibility antigen, A alpha chain",Immune System,AlphaFold3,6EQB,,,,
Transthyretin,Transport Protein,X-Ray Diffraction 1.27 Å,4MRB,,,,
Transthyretin,Transport Protein,AlphaFold2,4MRB,,,,
Transthyretin,Transport Protein,AlphaFold3,4MRB,,,,
Heat shock protein HSP 90?alpha N-terminal,Chaperone,X-Ray Diffraction 2.25 Å,6GQ6,,,,
Heat shock protein HSP 90?alpha N-terminal,Chaperone,AlphaFold2,6GQ6,,,,
Heat shock protein HSP 90?alpha N-terminal,Chaperone,AlphaFold3,6GQ6,,,,
Nuclear receptor coactivator 2,Transcription/DNA,X-Ray Diffraction 3.2 Å,3DZU,,,,
Nuclear receptor coactivator 2,Transcription/DNA,AlphaFold2,3DZU,,,,
Nuclear receptor coactivator 2,Transcription/DNA,AlphaFold3,3DZU,,,,
Estrogen receptor,Nuclear Receptor,X-Ray Diffraction 3.2 Å,1QKU,,,,
Estrogen receptor,Nuclear Receptor,AlphaFold2,1QKU,,,,
Estrogen receptor,Nuclear Receptor,AlphaFold3,1QKU,,,,
Insulin,Hormone,X-Ray Diffraction 1.8 Å,4F1A,,,,
Insulin,Hormone,AlphaFold2,4F1A,,,,
Insulin,Hormone,AlphaFold3,4F1A,,,,
Hemoglobin,Oxygen Transport,X-Ray Diffraction 1.74 Å,4HHB,,,,
Hemoglobin ,Oxygen Transport,AlphaFold2,4HHB,,,,
Hemoglobin ,Oxygen Transport,AlphaFold3,4HHB,,,,
Nucleosome containing H3.1,Structural Protein/DNA,X-Ray Diffraction 2.34 Å,5B1M,,,,
Nucleosome containing H3.1,Structural Protein/DNA,AlphaFold2,5B1M,,,,
Nucleosome containing H3.1,Structural Protein/DNA,AlphaFold3,5B1M,,,,
Mitogen?activated protein kinase 14,Transferase,X-Ray Diffraction 2.8 Å,5ETI,,,,
Mitogen?activated protein kinase 14,Transferase,AlphaFold2,5ETI,,,,
Mitogen?activated protein kinase 14,Transferase,AlphaFold3,5ETI,,,,
Ubiquitin,Chromosomal Protein,X-Ray Diffraction 1.8 Å,1UBQ,,,,
Ubiquitin,Chromosomal Protein,AlphaFold2,1UBQ,,,,
Ubiquitin,Chromosomal Protein,AlphaFold3,1UBQ,,,,
Nuclear receptor coactivator 1,Transcription,X-Ray Diffraction  2.51 Å,5NWX,,,,
Nuclear receptor coactivator 1,Transcription,AlphaFold2,5NWX,,,,
Nuclear receptor coactivator 1,Transcription,AlphaFold3,5NWX,,,,
Peroxisome proliferator?activated receptor gamma,Gene Regulation,X-Ray Diffraction 2.20 Å,1PRG,,,,
Peroxisome proliferator?activated receptor gamma,Gene Regulation,AlphaFold2,1PRG,,,,
Peroxisome proliferator?activated receptor gamma,Gene Regulation,AlphaFold3,1PRG,,,,
